"ENTITY_ABBR.x","CST_USE_NAME","ENTITY_ABBR.y","ATTAINS_USE_NAME","USE_NAME_UNLISTED"
"SD","COLDWATER MARGINAL FISH LIFE PROPAGATION WATERS -- BLACK HILLS TROUT MANAGEMENT AREA","SD","COLDWATER MARGINAL FISH","^(?=.*COLDWATER)(?=.*MARGINAL)(?=.*FISH).*$"
"SD","COLDWATER PERMANENT, COLDWATER MARGINAL, OR WARMWATER PERMANENT FISH LIFE PROPAGATION","SD","COLDWATER MARGINAL FISH","^(?=.*COLDWATER)(?=.*MARGINAL)(?=.*FISH).*$"
NA,NA,"CO","WARM WATER AQUATIC LIFE","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"WA","AQUATIC LIFE - FAIR QUALITY","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*FAIR)(?=.*QUALITY).*$"
NA,NA,"OH","HUMAN HEALTH USE","^(?=.*HUMAN)(?=.*HEALTH)(?=.*USE).*$"
"MICC","PRIMARY HUMAN CONTACT/CEREMONIAL","MI","CEREMONIAL","^(?=.*CEREMONIAL).*$"
NA,NA,"IA","AQUATIC LIFE - LAKES AND WETLANDS WARMWATER","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*LAKES)(?=.*AND)(?=.*WETLANDS)(?=.*WARMWATER).*$"
"MN","CLASS 2A - CS","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - FAV","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - MS","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - LAKE SUPERIOR","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - LAKE SUPERIOR BASIN WATERS OTHER THAN LAKE SUPERIOR","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - LAKE SUPERIOR BASIN WATERS OTHER THAN LAKE SUPERIOR; WILDLIFE CHRONIC STANDARD","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A - LAKE SUPERIOR; WILDLIFE CHRONIC STANDARD","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A DESIGNATED LAKE TROUT LAKES IN ALL ECOREGIONS CHRONIC STANDARD","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A DESIGNATED TROUT LAKES IN ALL ECOREGIONS, EXCEPT LAKE TROUT LAKES","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A LAKES AND RESERVOIRS - DESIGNATED LAKE TROUT LAKES IN ALL ECOREGIONS","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A LAKES AND RESERVOIRS - DESIGNATED TROUT LAKES IN ALL ECOREGIONS EXCEPT LAKE TROUT LAKES","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A RIVERS AND STREAMS - NORTH RIVER NUTRIENT REGION","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A RIVERS AND STREAMS - CENTRAL RIVER NUTRIENT REGION","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
"MN","CLASS 2A RIVERS AND STREAMS - SOUTH RIVER NUTRIENT REGION","MN","CLASS 2A","^(?=.*CLASS)(?=.*2A).*$"
NA,NA,"MA","ALUS","^(?=.*ALUS).*$"
"OH","PRIMARY CONTACT RECREATION","OH","CONTACT RECREATION","^(?=.*CONTACT)(?=.*RECREATION).*$"
"OH","SECONDARY CONTACT RECREATION","OH","CONTACT RECREATION","^(?=.*CONTACT)(?=.*RECREATION).*$"
"OHKA","PRIMARY CONTACT RECREATIONAL USE","OH","CONTACT RECREATION","^(?=.*CONTACT)(?=.*RECREATION).*$"
"OHKA","SECONDARY CONTACT RECREATIONAL USE","OH","CONTACT RECREATION","^(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"MT","CULTURAL AND SPIRITUAL","^(?=.*CULTURAL)(?=.*AND)(?=.*SPIRITUAL).*$"
NA,NA,"WV","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"KS","AGRICULTURAL SUPPLY USE--LIVESTOCK WATERING","^(?=.*AGRICULTURAL)(?=.*SUPPLY)(?=.*USE--LIVESTOCK)(?=.*WATERING).*$"
NA,NA,"PA","IRRIGATION","^(?=.*IRRIGATION).*$"
NA,NA,"GA","FISH - WATER GENERALLY SUPPORTING SHELLFISH","^(?=.*FISH)(?=.*-)(?=.*WATER)(?=.*GENERALLY)(?=.*SUPPORTING)(?=.*SHELLFISH).*$"
"ID","COLD WATER AQUATIC LIFE USE","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","COLD WATER AQUATIC LIFE USE: FISH IN EARLY LIFE STAGES ARE LIKELY PRESENT","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","COLD WATER AQUATIC LIFE USE: FISH IN EARLY LIFE STAGES ARE LIKELY ABSENT","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","COLD WATER AQUATIC LIFE USE: SALMONID SPAWNING","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","COLD WATER AQUATIC LIFE USE: BULL TROUT CRITERIA","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","COLD WATER AQUATIC LIFE USE: KOOTENAI RIVER FROM BONNERS FERRY TO SHORTY'S ISLAND","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
"ID","SEASONAL COLD WATER AQUATIC LIFE USE","ID","COLD WATER AQUATIC LIFE","^(?=.*COLD)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"WI","ERW","^(?=.*ERW).*$"
NA,NA,"MS","AQUATIC LIFE USE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"NE","NONDEGRADATION","^(?=.*NONDEGRADATION).*$"
NA,NA,"OK","CULTURAL","^(?=.*CULTURAL).*$"
NA,NA,"GA","FISH - PRIMARY TROUT WATER","^(?=.*FISH)(?=.*-)(?=.*PRIMARY)(?=.*TROUT)(?=.*WATER).*$"
NA,NA,"MN","CLASS 4C","^(?=.*CLASS)(?=.*4C).*$"
"ID","PRIMARY CONTACT RECREATION","ID","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"NE","AL COLD WATER A","^(?=.*AL)(?=.*COLD)(?=.*WATER)(?=.*A).*$"
NA,NA,"ID","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
"MN","SITE-SPECIFIC STANDARDS FOR UNNAMED WETLAND ADJACENT TO LAKE WINONA","MN","WETLAND","^(?=.*WETLAND).*$"
NA,NA,"NV","WATER AND ORGANISMS","^(?=.*WATER)(?=.*AND)(?=.*ORGANISMS).*$"
NA,NA,"NV","ENHANCEMENT OF WATER QUALITY AND IRRIGATION","^(?=.*ENHANCEMENT)(?=.*OF)(?=.*WATER)(?=.*QUALITY)(?=.*AND)(?=.*IRRIGATION).*$"
NA,NA,"MI","AQUATIC LIFE: GRAYLING WATERS","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*GRAYLING)(?=.*WATERS).*$"
"SC","CLASS SA; RECREATION","SC","RECREATION","^(?=.*RECREATION).*$"
"SC","CLASS SB; RECREATIONAL USES","SC","RECREATION","^(?=.*RECREATION).*$"
"SC","OCEAN BEACHES; RECREATIONAL USE; TRIGGER FOR ISSUING SWIMMING ADVISORIES","SC","RECREATION","^(?=.*RECREATION).*$"
"SC","RECREATIONAL FRESHWATERS","SC","RECREATION","^(?=.*RECREATION).*$"
"SC","SHELLFISH; RECREATION","SC","RECREATION","^(?=.*RECREATION).*$"
NA,NA,"MN","CLASS 1C DRINKING WATER","^(?=.*CLASS)(?=.*1C)(?=.*DRINKING)(?=.*WATER).*$"
NA,NA,"MA","PRIMARY HUMAN CONTACT/CEREMONIAL USE","^(?=.*PRIMARY)(?=.*HUMAN)(?=.*CONTACT/CEREMONIAL)(?=.*USE).*$"
NA,NA,"ME","FISH AND OTHER AQUATIC LIFE","^(?=.*FISH)(?=.*AND)(?=.*OTHER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"MN","SUBSISTENCE FISHING (NETTING AREA)","^(?=.*SUBSISTENCE)(?=.*FISHING)(?=.*(NETTING)(?=.*AREA)).*$"
"SD","WARMWATER SEMIPERMANENT FISH LIFE PROPAGATION WATERS (USE 5)","SD","WARMWATER SEMI FISH","^(?=.*WARMWATER)(?=.*SEMI)(?=.*FISH).*$"
"SD","WARMWATER SEMIPERMANENT OR WARMWATER MARGINAL FISH LIFE PROPAGATION","SD","WARMWATER SEMI FISH","^(?=.*WARMWATER)(?=.*SEMI)(?=.*FISH).*$"
"IN","SALMONID WATERS - OUTSIDE MIXING ZONE","IN","SALMONID WATERS","^(?=.*SALMONID)(?=.*WATERS).*$"
NA,NA,"CO","RECREATION, SECONDARY CONTACT","^(?=.*RECREATION,)(?=.*SECONDARY)(?=.*CONTACT).*$"
NA,NA,"MN","CLASS 4C IRRIGATION","^(?=.*CLASS)(?=.*4C)(?=.*IRRIGATION).*$"
NA,NA,"NE","AGRICULTURAL WATER SUPPLY-CLASS B","^(?=.*AGRICULTURAL)(?=.*WATER)(?=.*SUPPLY-CLASS)(?=.*B).*$"
NA,NA,"MT","CLASS 1 WARM WATER AQUATIC LIFE","^(?=.*CLASS)(?=.*1)(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"NV","SPORT FISHING","^(?=.*SPORT)(?=.*FISHING).*$"
"WA","SHELLFISH HARVESTING","WA","HARVESTING","^(?=.*HARVESTING).*$"
NA,NA,"OH","INDUSTRIAL WATER SUPPLY","^(?=.*INDUSTRIAL)(?=.*WATER)(?=.*SUPPLY).*$"
"CA4","MUNICIPAL AND DOMESTIC WATER SUPPLY","CA","MUNICIPAL AND DOMESTIC SUPPLY","^(?=.*MUNICIPAL)(?=.*AND)(?=.*DOMESTIC)(?=.*SUPPLY).*$"
"CA7","MUNICIPAL AND DOMESTIC SUPPLY","CA","MUNICIPAL AND DOMESTIC SUPPLY","^(?=.*MUNICIPAL)(?=.*AND)(?=.*DOMESTIC)(?=.*SUPPLY).*$"
NA,NA,"OH","CATEGORY 2 WETLAND","^(?=.*CATEGORY)(?=.*2)(?=.*WETLAND).*$"
NA,NA,"NM","LIVESTOCK AND WILDLIFE WATERING","^(?=.*LIVESTOCK)(?=.*AND)(?=.*WILDLIFE)(?=.*WATERING).*$"
"GA","FISHING","GA","FISHING","^(?=.*FISHING).*$"
"GA","FISHING - DESIGNATED TROUT STREAMS","GA","FISHING","^(?=.*FISHING).*$"
"GA","FISHING - WATERS SUPPORTING WARM WATER SPECIES OF FISH","GA","FISHING","^(?=.*FISHING).*$"
"GA","FISHING - WATERS DESIGNATED AS SECONDARY TROUT WATERS","GA","FISHING","^(?=.*FISHING).*$"
NA,NA,"IA","HIGH QUALITY RESOURCE","^(?=.*HIGH)(?=.*QUALITY)(?=.*RESOURCE).*$"
NA,NA,"NE","PUBLIC DRINKING WATER SUPPLY","^(?=.*PUBLIC)(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"MD","SEASONAL SHALLOW-WATER SUBMERGED AQUATIC VEGETATION SUBCATEGORY","^(?=.*SEASONAL)(?=.*SHALLOW-WATER)(?=.*SUBMERGED)(?=.*AQUATIC)(?=.*VEGETATION)(?=.*SUBCATEGORY).*$"
"IN","PUBLIC WATER SUPPLY - GREAT LAKES","IN","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"IN","PUBLIC WATER SUPPLY","IN","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"GA","RECREATION","GA","RECREATION","^(?=.*RECREATION).*$"
"GA","RECREATION - DESIGNATED TROUT STREAMS","GA","RECREATION","^(?=.*RECREATION).*$"
"GA","RECREATION - WATERS SUPPORTING WARM WATER FISH SPECIES","GA","RECREATION","^(?=.*RECREATION).*$"
"GA","RECREATION - WATERS DESIGNATED AS SECONDARY TROUT WATERS","GA","RECREATION","^(?=.*RECREATION).*$"
NA,NA,"WV","WATER CONTACT RECREATION: FISH CONSUMPTION","^(?=.*WATER)(?=.*CONTACT)(?=.*RECREATION:)(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"IA","AQUATIC LIFE - SIGNIFICANT RESOURCE WARMWATER","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*SIGNIFICANT)(?=.*RESOURCE)(?=.*WARMWATER).*$"
NA,NA,"MO","BOATING AND CANOEING","^(?=.*BOATING)(?=.*AND)(?=.*CANOEING).*$"
"MS","PUBLIC WATER SUPPLY","MS","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"MI","AQUATIC LIFE: LAKE STURGEON WATERS","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*LAKE)(?=.*STURGEON)(?=.*WATERS).*$"
"MN","CLASS 4A","MN","CLASS 4A","^(?=.*CLASS)(?=.*4A).*$"
"MN","CLASS 4A - IR","MN","CLASS 4A","^(?=.*CLASS)(?=.*4A).*$"
"MN","CLASS 4A - WILD RICE PRESENT","MN","CLASS 4A","^(?=.*CLASS)(?=.*4A).*$"
"WI","WILDLIFE CRITERIA","WI","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"MI","AQUATIC LIFE: WILD RICE WATERS - Z. AQUATICA/ Z. PAULSTRIS","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*WILD)(?=.*RICE)(?=.*WATERS)(?=.*-)(?=.*Z.)(?=.*AQUATICA/)(?=.*Z.)(?=.*PAULSTRIS).*$"
NA,NA,"ND","NO AQUATIC LIFE SUPPORT","^(?=.*NO)(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"ID","WILDLIFE HABITAT","^(?=.*WILDLIFE)(?=.*HABITAT).*$"
NA,NA,"MI","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"SAND","AGRICULTURAL WATER SUPPLY","ND","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"SAND","AGRICULTURAL WATER SUPPLY FOR LIVESTOCK","ND","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
"SAND","AGRICULTURAL WATTER SUPPLY FOR IRRIGATION","ND","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
NA,NA,"OK","EMERGENCY WATER SUPPLY","^(?=.*EMERGENCY)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"NH","SHELLFISHING","^(?=.*SHELLFISHING).*$"
NA,NA,"WI","NAVIGATION","^(?=.*NAVIGATION).*$"
NA,NA,"PR","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"CA","WARM WATER - FRESHWATER HABITAT","^(?=.*WARM)(?=.*WATER)(?=.*-)(?=.*FRESHWATER)(?=.*HABITAT).*$"
NA,NA,"WI","PUBLIC HEALTH AND WELFARE","^(?=.*PUBLIC)(?=.*HEALTH)(?=.*AND)(?=.*WELFARE).*$"
"MT","C-2 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","CULTURAL 2","^(?=.*CULTURAL)(?=.*2).*$"
"MT","B-2 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","CULTURAL 2","^(?=.*CULTURAL)(?=.*2).*$"
NA,NA,"OH","MODIFIED EXCEPTIONAL WARMWATER HABITAT/COLDWATER HABITAT","^(?=.*MODIFIED)(?=.*EXCEPTIONAL)(?=.*WARMWATER)(?=.*HABITAT/COLDWATER)(?=.*HABITAT).*$"
NA,NA,"WI","WILD RICE IN WETLANDS","^(?=.*WILD)(?=.*RICE)(?=.*IN)(?=.*WETLANDS).*$"
NA,NA,"MT","COLD WATER FISHERY","^(?=.*COLD)(?=.*WATER)(?=.*FISHERY).*$"
NA,NA,"MA","FISH CULTURE","^(?=.*FISH)(?=.*CULTURE).*$"
NA,NA,"OH","MODIFIED WARMWATER HABITAT - IMPOUNDED","^(?=.*MODIFIED)(?=.*WARMWATER)(?=.*HABITAT)(?=.*-)(?=.*IMPOUNDED).*$"
"SAND","COOLWATER AQUATIC LIFE/FISHERY","ND","COOL WATER FISHERY","^(?=.*COOL)(?=.*WATER)(?=.*FISHERY).*$"
NA,NA,"MN","AQUATIC LIFE: SUBSISTENCE FISHING (NETTING)","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*SUBSISTENCE)(?=.*FISHING)(?=.*(NETTING)).*$"
NA,NA,"UT","NONDEGRADATION","^(?=.*NONDEGRADATION).*$"
NA,NA,"TX","NON-CONTACT RECREATION","^(?=.*NON-CONTACT)(?=.*RECREATION).*$"
NA,NA,"ID","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OR","FISHING","^(?=.*FISHING).*$"
"GA","FISHING - WATERS DESIGNATED AS SECONDARY TROUT WATERS","GA","FISH - SECONDARY TROUT WATER","^(?=.*FISH)(?=.*-)(?=.*SECONDARY)(?=.*TROUT)(?=.*WATER).*$"
NA,NA,"CA","HYDROPOWER GENERATION","^(?=.*HYDROPOWER)(?=.*GENERATION).*$"
NA,NA,"IL","CHICAGO AREA WATERWAY SYSTEM AQUATIC LIFE USE A","^(?=.*CHICAGO)(?=.*AREA)(?=.*WATERWAY)(?=.*SYSTEM)(?=.*AQUATIC)(?=.*LIFE)(?=.*USE)(?=.*A).*$"
NA,NA,"NE","AL WARM WATER B","^(?=.*AL)(?=.*WARM)(?=.*WATER)(?=.*B).*$"
NA,NA,"WI","WATER SUPPLY IN WETLANDS","^(?=.*WATER)(?=.*SUPPLY)(?=.*IN)(?=.*WETLANDS).*$"
NA,NA,"HI","PRIMARY CONTACT (RECR)","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"NY","AGRICULTURAL OR FARM WATER SUPPLY","^(?=.*AGRICULTURAL)(?=.*OR)(?=.*FARM)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"HI","SHELLFISHING","^(?=.*SHELLFISHING).*$"
NA,NA,"SC","AGRICULTURE USES","^(?=.*AGRICULTURE)(?=.*USES).*$"
"CA3","SHELLFISH HARVESTING","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"CA8","SHELLFISH HARVESTING - OCEAN WATERS","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"CA8","SHELLFISH HARVESTING - BAYS AND ESTUARIES","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"CA9","SHELLFISH HARVESTING (SHELL)","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"CA","OCEAN WATERS, SHELLFISH HARVESTING","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"CA2","SHELLFISH HARVESTING","CA","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
NA,NA,"HI","AESTHETICS","^(?=.*AESTHETICS).*$"
NA,NA,"IN","HUMAN HEALTH AND WILDLIFE","^(?=.*HUMAN)(?=.*HEALTH)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (COLD WATER) (A&WC)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (WARM WATER) (A&WW)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (EPHEMERAL) (A&WE)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (COLD WATER) (A&WC): LAKES/RESERVOIRS","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (WARM WATER) (A&WW): LAKES/RESERVOIRS (ALL EXCEPT URBAN)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (WARM WATER) (A&WW): LAKES/RESERVOIRS (URBAN)","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW): LAKES/RESERVOIRS","AZ","AQUATIC AND WILDLIFE","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE).*$"
NA,NA,"AK","FRESH WATER / WATER RECREATION / CONTACT RECREATION","^(?=.*FRESH)(?=.*WATER)(?=.*/)(?=.*WATER)(?=.*RECREATION)(?=.*/)(?=.*CONTACT)(?=.*RECREATION).*$"
"SD","COMMERCE AND INDUSTRY WATERS (USE 11)","SD","COMMERCE AND INDUSTRY WATERS","^(?=.*COMMERCE)(?=.*AND)(?=.*INDUSTRY)(?=.*WATERS).*$"
NA,NA,"NM","INDUSTRIAL WATER SUPPLY","^(?=.*INDUSTRIAL)(?=.*WATER)(?=.*SUPPLY).*$"
"CA3","AGRICULTURE - IRRIGATION SUPPLY","CA","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"CA3","AGRICULTURE - LIVESTOCK WATERING","CA","AGRICULTURE","^(?=.*AGRICULTURE).*$"
NA,NA,"SC","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"OH","RECREATION - SECONDARY CONTACT","^(?=.*RECREATION)(?=.*-)(?=.*SECONDARY)(?=.*CONTACT).*$"
"NC","CLASS C WATERS; NON-TROUT WATERS","NC","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
"NC","CLASS C WATERS; TROUT WATERS","NC","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
"NC","CLASS C WATERS; NON-TROUT LAKES AND RESERVOIRS","NC","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
"NC","CLASS C WATERS; NON-TROUT STREAMS","NC","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
"NC","CLASS C WATERS; STREAMS, LAKES, AND RESERVOIRS DESIGNATED AS TROUT WATERS","NC","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
NA,NA,"TX","DOMESTIC WATER SUPPLY - PUBLIC WATER SUPPLY","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY)(?=.*-)(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OK","AGRICULTURAL","^(?=.*AGRICULTURAL).*$"
NA,NA,"CT","EXISTING OR PROPOSED DRINKING WATER","^(?=.*EXISTING)(?=.*OR)(?=.*PROPOSED)(?=.*DRINKING)(?=.*WATER).*$"
NA,NA,"OK","AQUATIC LIFE USE","^(?=.*AQUATIC)(?=.*LIFE)(?=.*USE).*$"
NA,NA,"NC","SHELLFISHING FOR MARKET PURPOSES","^(?=.*SHELLFISHING)(?=.*FOR)(?=.*MARKET)(?=.*PURPOSES).*$"
NA,NA,"HI","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"CT","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"WA","WATER SUPPLY - INDUSTRIAL WATER","^(?=.*WATER)(?=.*SUPPLY)(?=.*-)(?=.*INDUSTRIAL)(?=.*WATER).*$"
"SD","DOMESTIC WATER SUPPLY WATERS (USE 1)","SD","DOMESTIC WATER SUPPLY WATERS","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY)(?=.*WATERS).*$"
NA,NA,"WY","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OH","LIMITED RESOURCE WATERS - OTHER SPECIFIC CONDITIONS","^(?=.*LIMITED)(?=.*RESOURCE)(?=.*WATERS)(?=.*-)(?=.*OTHER)(?=.*SPECIFIC)(?=.*CONDITIONS).*$"
NA,NA,"MI","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
NA,NA,"NE","WARM WATER AQUATIC LIFE (CLASS A)","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE)(?=.*(CLASS)(?=.*A)).*$"
NA,NA,"MN","CLASS 3D INDUSTRIAL CONSUMPTION","^(?=.*CLASS)(?=.*3D)(?=.*INDUSTRIAL)(?=.*CONSUMPTION).*$"
NA,NA,"HI","NAVAGATION AND SHIPPING","^(?=.*NAVAGATION)(?=.*AND)(?=.*SHIPPING).*$"
"MAKA","SECONDARY CONTACT RECREATION","MA","SECONDARY CONTACT","^(?=.*SECONDARY)(?=.*CONTACT).*$"
"MAKA","SECONDARY CONTACT RECREATION - LAKES","MA","SECONDARY CONTACT","^(?=.*SECONDARY)(?=.*CONTACT).*$"
"WMA","SECONDARY CONTACT RECREATIONAL USE","MA","SECONDARY CONTACT","^(?=.*SECONDARY)(?=.*CONTACT).*$"
"TN","INDUSTRIAL WATER SUPPLY","TN","INDUSTRIAL WATER SUPPLY","^(?=.*INDUSTRIAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"MI","AQUATIC LIFE: WARM WATER FISHERY","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*WARM)(?=.*WATER)(?=.*FISHERY).*$"
NA,NA,"MN","AQUATIC RECREATION","^(?=.*AQUATIC)(?=.*RECREATION).*$"
NA,NA,"NM","LIMITED AQUATIC LIFE","^(?=.*LIMITED)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"NH","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"KS","IRRIGATION WATER USE","^(?=.*IRRIGATION)(?=.*WATER)(?=.*USE).*$"
